"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"166024","Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome","Disease","Disorder","Q77.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"58","Alexander disease","Disease","Disorder","G93.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166032","Multiple epiphyseal dysplasia-miniepiphyses syndrome","Disease","Disorder","Q77.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"61","Alpha-mannosidosis","Disease","Disorder","E77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166029","Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome","Disease","Disorder","Q77.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166038","Metaphyseal chondrodysplasia, Kaitila type","Disease","Disorder","Q78.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"93","Aspartylglucosaminuria","Disease","Disorder","E77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166035","Brachydactyly-short stature-retinitis pigmentosa syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"585","Multiple sulfatase deficiency","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"118","Beta-mannosidosis","Disease","Disorder","E77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166068","Pontocerebellar hypoplasia type 5","Malformation syndrome","Disorder",NA,NA
"141","Canavan disease","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166063","Pontocerebellar hypoplasia type 4","Malformation syndrome","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166078","Von Willebrand disease type 1","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"206","NON RARE IN EUROPE: Crohn disease","Disease","Disorder",NA,NA
"166073","Pontocerebellar hypoplasia type 6","Malformation syndrome","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213","Cystinosis","Disease","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166084","Von Willebrand disease type 2A","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"333","Farber disease","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166081","Von Willebrand disease type 2","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"349","Fucosidosis","Disease","Disorder","E77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166090","Von Willebrand disease type 2M","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"365","Glycogen storage disease due to acid maltase deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166087","Von Willebrand disease type 2B","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"366","Glycogen storage disease due to glycogen debranching enzyme deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166093","Von Willebrand disease type 2N","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"368","Glycogen storage disease due to muscle glycogen phosphorylase deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166096","Von Willebrand disease type 3","Clinical subtype","Subtype of disorder","D68.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"367","Glycogen storage disease due to glycogen branching enzyme deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166100","Autosomal dominant otospondylomegaepiphyseal dysplasia","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"371","Glycogen storage disease due to muscle phosphofructokinase deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166105","FASTKD2-related infantile mitochondrial encephalomyopathy","Disease","Disorder","G71.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"369","Glycogen storage disease due to liver glycogen phosphorylase deficiency","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"447","Paroxysmal nocturnal hemoglobinuria","Disease","Disorder","D59.5","E (Exact mapping: the two concepts are equivalent)"
"166108","Intellectual disability, Birk-Barel type","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166113","Bazex syndrome","Disease","Disorder","L44.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"535","Rare cutaneous lupus erythematosus","Clinical group","Group of disorders",NA,NA
"166119","Isolated osteopoikilosis","Disease","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"487","Krabbe disease","Disease","Disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166260","Dentinogenesis imperfecta type 2","Clinical subtype","Subtype of disorder","K00.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166265","Dentinogenesis imperfecta type 3","Clinical subtype","Subtype of disorder","K00.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"583","Mucopolysaccharidosis type 6","Disease","Disorder","E76.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166272","Odontochondrodysplasia","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"576","Mucolipidosis type II","Disease","Disorder","E77.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166277","Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"812","Sialidosis type 1","Disease","Disorder","E77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"166282","Familial sick sinus syndrome","Disease","Disorder","I49.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
